time,value
2011-01-01,2.6145832538604736
2011-01-02,-0.887499988079071
2011-01-03,-3.3659722805023193
2011-01-04,0.02916666679084301
2011-01-05,-1.0527777671813965
2011-01-06,0.5381944179534912
2011-01-07,0.0069444440305233
2011-01-08,3.606250047683716
2011-01-09,2.4520833492279053
2011-01-10,1.5618056058883667
2011-01-11,-0.9437500238418579
2011-01-12,1.386805534362793
2011-01-13,1.088194489479065
2011-01-14,3.379166603088379
2011-01-15,4.349305629730225
2011-01-16,6.782639026641846
2011-01-17,3.449305534362793
2011-01-18,2.656944513320923
2011-01-19,1.2965277433395386
2011-01-20,-0.4590277671813965
2011-01-21,-0.8229166865348816
2011-01-22,1.4666666984558105
2011-01-23,1.1090277433395386
2011-01-24,3.350694417953491
2011-01-25,1.2465277910232544
2011-01-26,-3.140972137451172
2011-01-27,-4.7090277671813965
2011-01-28,-1.1972222328186035
2011-01-29,0.9909722208976746
2011-01-30,-1.1736111640930176
2011-01-31,0.3652777671813965
2011-02-01,2.4819445610046387
2011-02-02,3.706249952316284
2011-02-03,3.840277671813965
2011-02-04,4.983333110809326
2011-02-05,5.672222137451172
2011-02-06,4.163888931274414
2011-02-07,4.4083333015441895
2011-02-08,4.188194274902344
2011-02-09,3.1229166984558105
2011-02-10,3.9659721851348877
2011-02-11,1.8548611402511597
2011-02-12,-1.7826389074325562
2011-02-13,-0.6881944537162781
2011-02-14,-0.7548611164093018
2011-02-15,-2.3805556297302246
2011-02-16,-2.159722328186035
2011-02-17,-0.981249988079071
2011-02-18,-2.2006945610046387
2011-02-19,-5.617361068725586
2011-02-20,-6.662499904632568
2011-02-21,-6.236111164093018
2011-02-22,-4.486805438995361
2011-02-23,-4.761111259460449
2011-02-24,-1.8222222328186035
2011-02-25,1.3576388359069824
2011-02-26,1.1097222566604614
2011-02-27,-1.1965277194976807
2011-02-28,-0.49444442987442017
2011-03-01,-0.6187499761581421
2011-03-02,-1.1548610925674438
2011-03-03,-1.2708333730697632
2011-03-04,1.4326388835906982
2011-03-05,2.90625
2011-03-06,0.6006944179534912
2011-03-07,0.7027778029441833
2011-03-08,1.163888931274414
2011-03-09,2.695138931274414
2011-03-10,4.547916889190674
2011-03-11,3.636805534362793
2011-03-12,4.860416889190674
2011-03-13,5.722916603088379
2011-03-14,7.162499904632568
2011-03-15,3.7249999046325684
2011-03-16,1.0493055582046509
2011-03-17,2.1923611164093018
2011-03-18,2.781944513320923
2011-03-19,3.518749952316284
2011-03-20,3.105555534362793
2011-03-21,6.087500095367432
2011-03-22,6.452083110809326
2011-03-23,5.6777777671813965
2011-03-24,6.96750020980835
2011-03-25,4.53819465637207
2011-03-26,1.3763889074325562
2011-03-27,1.6708333492279053
2011-03-28,3.8238887786865234
2011-03-29,4.871527671813965
2011-03-30,5.159027576446533
2011-03-31,7.347916603088379
2011-04-01,8.310416221618652
2011-04-02,12.684027671813965
2011-04-03,6.411805629730225
2011-04-04,7.380555629730225
2011-04-05,7.29027795791626
2011-04-06,9.365278244018555
2011-04-07,7.681944370269775
2011-04-08,7.419444561004639
2011-04-09,6.99305534362793
2011-04-10,7.36597204208374
2011-04-11,8.28819465637207
2011-04-12,6.885416507720947
2011-04-13,6.518055438995361
2011-04-14,5.3534722328186035
2011-04-15,7.720139026641846
2011-04-16,7.79027795791626
